,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10,ccfbua120160c.fits,12,0.05952426200019545,2,0.10042173900001217,0.276784359189029,6.441794286166549 pix,0.15392343042126455,4.689392296707725 pix,"[1860.6261891911442, 5116.291989135934, 7088.533105246474, 7537.495067413654, 6911.507191126329, 5710.472142743325, 4343.370147420006, 2914.8913269214245, 1717.2599148640584, 840.878727807707, 59.18227709249186, -508.1040334862337, -535.5782283561275, -402.60915615898557, -475.45449450470915, -321.64916748033284, -168.13275029966462]","[1804.7478583981879, 4634.045265985997, 5687.058714714551, 5170.028071375435, 3888.5308727400043, 2517.222173200462, 1391.5911021623033, 679.9206315817901, 302.02045722004914, 122.35312208240794, 43.05074155329203, 10.238469833653653, -2.112577735693776, -4.979578180827957, -4.71123551207711, -3.0533697439241223, -1.75340034369583, -0.9869394152592577, -0.3306078422574501, -0.0005904293102503289]","[4186.212991185207, 10436.808532231746, 11775.272216856434, 8636.62792254574, 4043.6732207758905, 1292.9171250407526, 226.41623270566197, 22.771412014764792, 0.25985895541816717, 0.0, 7.275957614183426e-12, 0.0, -7.275957614183426e-12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","(0.16568025926536833, 1.7869786816015338)","(-1.0478981967039047, 1.0131655515776643)",1.9526589408669022,2.061063748281569
11,ccfbua280099c.fits,24,0.08898980800222489,2,0.08544813600019552,0.16025167188071043,6.648399873517296 pix,0.22469552731109177,4.552790445529639 pix,"[4202.10170325424, 11427.434654655246, 15950.744591624463, 16456.804403141545, 15113.626081765215, 11848.200123912036, 8516.256017232503, 5676.14670466783, 3618.486044299905, 1819.3610063207452, 418.57562388649967, -523.3298875600303, -1153.0127956575016, -1050.280571096926, -893.4166650386323, -612.3766203740815, -386.1279851025756]","[5908.861444736762, 15778.438126558896, 20885.400297496995, 20654.23505393695, 16643.648909372016, 11164.828333926285, 6158.660300679883, 2855.4258831427433, 1132.5877733663947, 393.96507621198543, 116.87670937944495, 23.543396812441642, -2.4443198935769033, -6.660559390613344, -5.488269714158378, -3.478418191501987, -1.899802099520457, -0.9807358447433216, -0.25655510221258737, 0.0]","[10204.36172861094, 24633.339852464032, 26529.593865581548, 18650.393164156914, 8086.4852115230315, 2528.467045628131, 452.6934065470123, 26.763520409498597, 0.0, 0.0, 0.0, -1.4551915228366852e-11, 0.0, 1.4551915228366852e-11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","(-0.07997979128257171, 1.8292325529001303)","(-1.264956756584903, 1.1159122653599294)",1.909212344182702,2.3808690219448323
12,ccfbue110098c.fits,11,0.07278691099782009,2,0.10765834700214327,0.3134992908700598,6.47223832977809 pix,0.3209678022982825,3.8231539433207016 pix,"[2621.421913487674, 6837.813637117014, 8808.15581085808, 8025.436479434204, 6155.901955743469, 4192.2072789092235, 2577.1148173865367, 1563.4761206846015, 830.6955824393444, 351.5104928404253, 29.072384698563837, -189.66406663041562, -256.69330934315076, -330.41207446289627, -294.8193512752405, -221.50380128889083, -102.05862232477375]","[1858.8170026109626, 4666.2281232823425, 5444.465434919356, 4559.557508426751, 3140.151256385263, 1945.956660766693, 1190.8224101272572, 741.7004136271244, 434.9240225358262, 219.37467708100303, 90.29375294123747, 27.779006988799665, 4.347556428001553, -2.6255858880103915, -3.5798893361170485, -2.473782850756834, -1.5274817705540045, -0.8480910277357907, -0.318360133907845, -0.032506161278433865]","[6374.207668782859, 13315.934301547397, 12148.741265667282, 5722.693275750211, 1639.913651618801, 182.10935529245035, 61.88991480824916, 1.6259584248546162, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -7.275957614183426e-12, 0.0, 7.275957614183426e-12, 0.0, 0.0, 0.0]","(1.1644994037336325, 1.655396156784592)","(-0.666926192197657, 0.46712958625432854)",2.8198955605182245,1.1340557784519856
13,ccfbue110099c.fits,11,0.0669605879993469,7,0.27983213599873125,0.3115188435777163,6.51495709109202 pix,0.07718573168180276,5.016116548054402 pix,"[2386.9591979910365, 6386.179609187804, 8243.781010687706, 7831.119717714624, 6145.343848939192, 4187.163441049357, 2779.8359435083985, 1700.3306492753327, 999.286439701682, 625.7066784333219, 95.1338707214527, -163.60890004088287, -208.54323519584432, -371.9965730378026, -335.5986480522406, -236.7522173096222, -164.76136204569775]","[1563.9101691266003, 3958.1420144409512, 4697.179398469407, 4050.8622380402176, 2858.561133660607, 1789.071349605114, 1092.4275259365677, 656.9958489992059, 369.91927398896587, 182.03335176931068, 74.75738307249048, 23.956060571868875, 4.256281211361056, -2.3375642264072667, -3.371637184831343, -2.396965161031403, -1.5828844712741557, -0.870955736911128, -0.3846841335143836, -0.10941045438448782]","[8045.292978204452, 12390.757396658133, 6669.186635749582, 4363.445922999552, 2824.0468122421553, 1695.8572977646254, 929.1084106648705, 441.0234195543162, 201.85634524589113, 106.26790742917365, 85.34123535683466, 89.71580022137641, 54.277642376866424, 55.7217250171816, 14.576827868142573, 0.9119095196801936, 0.0, 7.275957614183426e-12, 0.0, 0.0]","(1.0687696174941266, 1.5255559351649914)","(-0.8087084112471139, 0.8010383598396658)",2.594325552659118,1.6097467710867797
14,ccfbue240134c.fits,13,0.12131741899793269,2,0.1586228599990136,0.3260384519965486,6.322138925749821 pix,0.28003487560994034,4.141929703775331 pix,"[2120.4049450910557, 6105.610708221011, 7941.125112594598, 7986.135951002601, 6305.562240162824, 4226.149551351482, 2652.135156673059, 1571.8015338949917, 874.452221573134, 341.56405631823145, 110.14790659278515, -226.86686145521526, -418.32919803156256, -346.13417503769597, -209.18873616713972, -211.36444044602104, -130.15357876517373]","[1525.8636558282108, 3833.4760792500447, 4613.389181364691, 4128.729828424515, 3076.753209214141, 1958.299933455306, 1056.6408838831194, 497.3625068399415, 209.41519854896615, 79.81848417578658, 26.65903143362084, 6.294214296180144, -0.8894737163936952, -2.6077073955748347, -2.8589694724068977, -1.9903640720986004, -1.239911375414522, -0.7876359336223686, -0.3827858906770416, -0.054641821086988784]","[4784.50333452177, 11375.708494144834, 11440.978097311292, 6401.89902427476, 2248.406426636102, 458.1932657935322, 46.69023792196822, 0.0, 0.0, 7.275957614183426e-12, -7.275957614183426e-12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","(0.4378518951205628, 2.134399935513491)","(-1.244227153815718, 0.5464725099581127)",2.5722518306340536,1.7906996637738306
15,ccfbug080020c.fits,87,0.2683837720032898,2,0.0910044670017669,0.020553872555483355,7.5476379318898825 pix,0.14375418352225333,4.588581583175825 pix,"[362.75807368027364, 927.1943887773916, 1177.4733893483567, 1230.1657192010885, 997.6630983902369, 805.8261040159232, 458.64509712243853, 274.8506295668285, 223.13344596592106, -135.98396479333678, -320.95891780491, -336.5797140356517, -310.3908355053245, -183.29489610038308, -229.0891867639566, -111.20890307812897, -56.71305762544762]","[349.87672447411364, 959.2399045010138, 1334.058917675001, 1432.7767010335601, 1296.7026882133046, 1008.2605863628605, 669.9147621211569, 387.6908241141282, 197.91790808025507, 88.47528674041223, 32.355899853307164, 6.834997069655401, -0.9290493918042557, -2.2354340631145533, -2.001424728505299, -1.2528450734325816, -0.7069836870659856, -0.39338792714352167, -0.1326527384826477, -0.0014428378308366518]","[418.2063380988145, 1076.158516319624, 1124.35349472065, 837.9716561527362, 294.0349332502469, 140.14749654763727, 10.595294747880416, 9.390607416898547, 0.01736197323180022, 0.0, 0.0, 4.547473508864641e-13, 0.0, 0.0, 0.0, 0.0, 4.547473508864641e-13, 0.0, 0.0, 0.0]","(-0.19806214473394945, 1.818148356540732)","(-0.728328539653182, 0.15640519992640023)",2.0162105012746814,0.8847337395795822
16,ccfbug080021c.fits,141,0.3829391700019187,2,0.09420496600068873,0.018453599244223073,7.382085647405782 pix,0.2519738245473939,4.547537465825104 pix,"[991.5519279041582, 2764.251822189658, 3753.69937510362, 4062.9012690453164, 3491.1459472835086, 2860.6917465963816, 2234.393619728031, 1407.699039520361, 868.291809375296, 218.2096301442907, -40.64790429353525, -350.61812756183645, -472.85208689074716, -351.1974211173074, -336.265631952323, -261.9980396594801, -103.37380585296705]","[1261.6512590997902, 3423.241123960075, 4696.393495915663, 4923.051173853097, 4303.514051921604, 3214.5051234562306, 2082.6148054071346, 1181.8742742017275, 599.9108594022109, 271.4658069144207, 104.28275032574675, 25.690345438466466, -1.3726491570087092, -6.780324705207022, -5.469520012735302, -3.5826250540994806, -2.008659392638947, -0.9398121290942072, -0.2596227091635228, -0.004306324975914322]","[2202.934528362817, 5238.5150856902355, 5837.258274794839, 3843.301355727517, 1759.6664630798296, 540.4820630703762, 48.04113334253998, 2.736329463466973, 0.0, 0.0, -3.637978807091713e-12, 3.637978807091713e-12, -3.637978807091713e-12, 0.0, 0.0, 0.0, 3.637978807091713e-12, -3.637978807091713e-12, 0.0, 0.0]","(-0.1595152013653074, 1.649425467356462)","(-1.0541723958681342, 0.7645786016461162)",1.8089406687217693,1.8187509975142504
17,ccfbug080022c.fits,62,0.2119454349995067,2,0.1129401880025398,0.045423546848129326,7.368140075665455 pix,0.22391900836261458,4.594492152057636 pix,"[497.27075743903083, 1403.1086998355472, 1757.8295401777084, 1843.2368405833417, 1518.9455753055554, 1064.9277923619275, 720.9984243787412, 356.6686053941339, 196.1600797973406, 17.426635426720168, -105.74292768415762, -303.7494425058467, -328.5107839308839, -224.6651053641599, -197.19288534803673, -161.75556920157942, -106.75410497826306]","[528.817222436589, 1448.5184434822424, 2011.3703821216188, 2133.2318415342893, 1887.274520173818, 1423.3101124459718, 910.7821508877241, 506.5998797514003, 248.51304455610807, 107.56700660024944, 38.813275020082074, 8.57416897602161, -0.7651653675748094, -2.3521495966924704, -2.047146344651992, -1.294020438730513, -0.7163676049658534, -0.38232939574118063, -0.11237101355800405, -4.459390765987337e-06]","[792.6325975556281, 1939.2497108305527, 2077.278669822189, 1441.10211749856, 687.7093978739576, 194.97039837757893, 32.08506687114732, 1.573140558758496, 0.0, -9.094947017729282e-13, 9.094947017729282e-13, -9.094947017729282e-13, 0.0, 0.0, 9.094947017729282e-13, -9.094947017729282e-13, 0.0, 0.0, 0.0, 0.0]","(-0.21716685352514986, 1.7681306876746046)","(-0.9266273522605992, 0.3478299323380032)",1.9852975411997544,1.2744572845986024
18,ccfbuk060030c.fits,20,0.09682823399998597,4,0.20368972800133633,0.29495095892949086,6.179322061097366 pix,0.1015201579252385,5.016405754189803 pix,"[1862.7339373335938, 5643.031582070695, 7423.333581312384, 6961.851668724385, 5358.280940658857, 3529.850452360766, 2124.5395993903912, 1264.3403936493924, 634.9050837780014, 224.38607858072646, -263.97266260110337, -499.4043736968015, -509.21985161833436, -206.53134708222206, -348.22847445553634, -217.0485361277897, -100.72668052754307]","[1935.3715254072333, 4891.296836351086, 5820.38900978481, 5053.7377812082395, 3599.6965451246433, 2213.689653730511, 1208.9763650016612, 579.1828795485308, 243.61717847506225, 90.56398489571075, 28.904056625033263, 6.721435683564778, 0.05215381589732715, -1.6463893455584184, -1.7102542722786893, -1.122657081039506, -0.6952920471449033, -0.40837797080530436, -0.18380990074729198, -0.04161132731678663]","[3406.9396249707715, 7919.047279489112, 8746.068880323188, 6470.340641946412, 3575.0468065378627, 1486.985482540029, 484.5612596758583, 140.22103768130546, 45.454202171004, 0.8178887194262643, 0.04886357222858351, 0.12613106697244802, 0.0008825079967209604, -3.637978807091713e-12, 7.275957614183426e-12, -7.275957614183426e-12, 0.0, 7.275957614183426e-12, 0.0, 0.0]","(-0.6759007644161343, 2.0761939541257064)","(-1.1501319619926136, 0.7958902197404196)",2.7520947185418407,1.9460221817330332
19,ccfbva240057c.fits,10,0.07588570900043123,3,0.15858133799702046,0.3466369949461974,6.4642533916131635 pix,0.09320944296821276,5.705728530354466 pix,"[2962.4886893391267, 8351.92894902865, 10624.41976194936, 9866.257131821902, 7819.437088916537, 5442.684626174618, 3612.7502791553416, 2534.112339166488, 1501.404186408523, 736.8133959233382, -13.369760805471742, -348.3102884238979, -439.7220096033416, -391.1513888325353, -289.19272869259294, -165.35610141540383, -124.90505390029284]","[2192.4140984837827, 5606.849455146654, 6909.105653887539, 6320.363472459612, 4806.947733142071, 3159.557142718939, 1767.3722437297838, 858.2375613018012, 368.97640218411107, 142.70524730006582, 49.00134055544186, 12.13647833673167, -1.5052750854629267, -4.88084107024406, -4.227467714477825, -2.9480734170756477, -1.6527553251507925, -0.8081610843291855, -0.17016448784488603, 0.0]","[7263.832490870394, 13488.964472489948, 8973.496551386768, 7190.133985755387, 4973.584594463551, 3239.585080350502, 2109.073005866492, 1265.8128277278738, 660.4698690819787, 350.70637996429286, 134.5872411817545, 35.403876598677016, 4.0666231691720895, 0.060429293174820486, 0.8351877725581289, 0.651173668273259, 0.8160173183932784, 0.0, 0.0, 0.0]","(0.5535865986648201, 1.885920995326451)","(-1.4236307898649887, 1.5351269987496572)",2.439507593991271,2.958757788614646
