,image,num_iters,execution_time,star_coord,flux_before,flux_after,bkg_before,bkg_after,l1_centroid_err,before_ecc,after_ecc,before_fwhm (pix),after_fwhm (pix),flag,bestBeta
20,ccfbte210073.fits,10,0.5521,"(225.45859613315184, 58.426714275502555)",14215.369,14215.3706,124.04388618469238,0.0,1.4589,0.319142097004918,0.07054658445770301,5.9914,2.1104,1,0.9756068322761324
21,ccfbte210073.fits,5,0.1788,"(370.24821277089944, 428.3702340541267)",5008.8438,5008.8343,135.65189361572266,0.0,1.3671,0.052605130792868326,0.07845670129509608,5.1055,2.1456,1,1.0147690120541362
22,ccfbte210073.fits,10,0.715,"(263.99344386615763, 521.4344918113821)",12328.723,12328.7264,122.19779586791992,0.0,0.9918,0.2519574335474617,0.0971409748629809,5.8573,2.3557,1,0.9580853326332714
23,ccfbte210073.fits,10,0.7452,"(276.47808682589346, 405.42596875847005)",97762.71,97762.6983,150.09906005859375,0.0,0.5667,0.314642620906858,0.10197236057205183,5.7388,2.738,1,0.9760829174830409
24,ccfbue110098.fits,10,0.4613,"(87.37432940292591, 289.0365022507628)",51488.242,51488.2332,114.12594890594482,0.0,0.3321,0.15905331165895187,0.06747829066305688,5.5871,2.9474,1,0.9825183322026747
25,ccfbue110098.fits,10,0.4909,"(433.74999782664554, 16.054295162784484)",13463.0205,13463.0164,112.15359497070312,0.0,0.6715,0.1769108811363551,0.031228037164430122,5.5492,2.2861,1,0.9814355981076327
26,ccfbue110098.fits,8,0.3018,"(466.39526920396787, 304.6900426504546)",104510.84,104510.8133,177.66084480285645,0.0,3.549,0.16257692972005156,0.584283244545733,5.2986,5.1188,1,0.950695213053119
27,ccfbue110098.fits,10,0.5016,"(113.00439818285102, 103.31249381895393)",12359.762,12359.7563,100.83293533325195,0.0,1.1356,0.1947063489235905,0.1036136696017812,5.2371,2.439,1,1.001209305829928
28,ccfbue110098.fits,10,0.4672,"(96.21852539570881, 90.8954047691453)",26538.71,26538.703,110.12905883789062,0.0,0.9623,0.11994503611569318,0.06975212208925874,5.7372,2.8241,1,1.0029650578356006
29,ccfbue110098.fits,10,0.4596,"(459.72773734939057, 531.6990545514411)",17022.06,17022.0557,142.87223434448242,0.0,1.5539,0.362725698478071,0.0187780706315388,5.637,2.6906,1,1.0212179221347537
30,ccfbue110099.fits,10,0.4688,"(190.34747051858355, 484.8302569767185)",5002.622,5002.6176,109.23703193664551,0.0,1.5932,0.3854072392955231,0.08022436914698095,5.847,2.1228,1,0.9534388521115218
31,ccfbue110099.fits,10,0.4957,"(502.6137742906204, 518.6418471625008)",82909.055,82909.0492,187.74783325195312,0.0,1.1713,0.18608047006288453,0.14653508763953327,5.7972,3.3235,1,0.9505522117123602
32,ccfbue110099.fits,10,0.5671,"(433.4481161425949, 15.564578479416394)",14614.511,14614.508,113.02272415161133,0.0,1.0001,0.1885763256932388,0.1120275205954464,5.7425,2.5535,1,0.9814355981076327
33,ccfbue110099.fits,7,0.2426,"(241.09514371875798, 412.925254612417)",37872.01,37871.9992,142.48353958129883,0.0,0.2723,0.17790888889250434,0.1584219369591845,5.5796,3.0241,1,0.9536886947354533
34,ccfbue110099.fits,10,0.4485,"(187.9100152867517, 66.90984118551191)",11948.373,11948.3787,107.12664413452148,0.0,1.2872,0.20014404794606167,0.16274383562170702,5.6318,2.696,1,0.9516587828927856
35,ccfbue110099.fits,10,0.449,"(239.8518914087138, 520.5097998856136)",10275.389,10275.3919,110.46527862548828,0.0,2.0606,0.07600680371791702,0.027298984583227215,4.8545,2.3028,1,0.9509197051616629
36,ccfbug080022.fits,10,0.6902,"(438.97503519250125, 287.6119510485272)",3884.0005,3883.9995,116.08088302612305,0.0,0.4617,0.16569572259461163,0.17219186308191592,5.8601,4.37,1,0.9804242242959538
37,ccfbug080022.fits,10,0.6489,"(275.2760190663636, 404.7713000070701)",11295.923,-3429.0773,115.57746696472168,16.361110963471884,1.0597,0.24183737676314165,0.22471429315146818,5.066,3.6268,0,0.9856753326693589
38,ccfbug080022.fits,10,0.5888,"(479.87389330562905, 27.218708836072974)",7739.12,-179.6777,116.73370361328125,8.798658724426563,0.3495,0.09078188527812725,0.44417798135686015,5.1659,3.9798,0,0.9531429185686734
39,ccfbug080022.fits,10,0.7345,"(266.1312333626192, 418.5441728747182)",9382.971,9382.9593,123.05562019348145,0.0,1.7301,0.14292950954657868,0.5524022094423009,5.7663,4.0302,1,0.9917411003148779
40,ccfbug080022.fits,1,0.0082,"(393.533999057527, 312.3875527221242)",5212.804,-6481.6984,115.35062408447266,12.993891050122858,0.3313,0.029766075901640265,0.16855495515270835,4.7405,3.248,0,0.9863629602379294
41,ccfbug080022.fits,2,0.0418,"(88.15542770173967, 288.9674799097605)",3896.7383,1319.7741,111.77984237670898,2.8633010312154132,0.1108,0.09481772570162728,0.15325589462384936,5.1622,4.4704,0,0.9886735346300537
42,ccfbvc170118.fits,10,0.4597,"(479.83362392325495, 26.54679750685915)",57325.76,57325.7619,154.49644088745117,0.0,2.6028,0.4634369415286388,0.03518108529440478,8.5745,3.2931,1,0.9899860971715255
43,ccfbvc170118.fits,10,0.4784,"(212.02821999350957, 449.52699505735575)",34245.746,34245.7542,139.09034538269043,0.0,3.16,0.4550415461587213,0.19308098848420419,8.4671,3.3787,1,0.9514079822715084
44,ccfbvc170118.fits,9,0.442,"(241.01150709939577, 412.191604286357)",27590.906,27590.9038,150.1019058227539,0.0,2.8079,0.4186075316609239,0.21023352614203428,8.7034,2.9761,1,0.959541011649041
45,ccfbvc170118.fits,10,0.5043,"(465.1731740467765, 49.39755990005642)",15110.577,15110.5745,137.36184692382812,0.0,2.7367,0.44137968914335557,0.18053677681451696,8.6564,2.6896,1,0.9500520376995315
46,ccfbvc170118.fits,6,0.1772,"(466.6760678398902, 304.274524105786)",62362.08,62362.1003,213.3965721130371,0.0,4.8102,0.42587361109655775,0.4961133745166588,7.5843,4.5338,1,0.9533050732900548
47,ccfbvc170118.fits,10,0.5512,"(440.15211696026324, 101.13413685404076)",9526.945,9526.9428,125.4571704864502,0.0,1.2142,0.5108125375190604,0.241878458005646,6.7434,2.1484,1,0.959617655109142
48,ccfbvc170119.fits,10,0.545,"(442.1624078765833, 101.23170295167404)",10951.951,10951.9548,123.68020248413086,0.0,2.1468,0.06898517520956249,0.16445474977706875,8.6364,2.6507,1,0.9683404509853434
49,ccfbvc170119.fits,10,0.4709,"(329.030037610923, 106.35897739642328)",79026.625,79026.6474,188.6024169921875,0.0,1.3615,0.10629093788973054,0.3189649512411614,8.5661,4.0783,1,1.0448885537253334
50,ccfbvc170119.fits,10,0.4526,"(96.04627384179024, 356.4112819063023)",39192.023,39192.026,130.2291259765625,0.0,2.3545,0.519069621284408,0.24843121207565189,7.3122,4.1443,1,1.0123298126827558
51,ccfbvc170119.fits,10,0.4542,"(445.21775728737185, 132.21730084565195)",31766.14,31766.1332,143.41498565673828,0.0,2.0592,0.09994520538825857,0.23458004147959677,8.5635,3.3382,1,0.9525419126744095
52,ccfbvc170119.fits,7,0.2369,"(467.3907128465584, 304.11849827806185)",51082.83,51082.8169,222.61991500854492,0.0,2.0904,0.3549548700909596,0.11296614927116966,7.0361,3.6623,1,1.0318014765922494
53,ccfbvc170119.fits,10,0.4686,"(445.1871589482213, 261.86192478161524)",29800.04,29800.035,153.9548225402832,0.0,1.9004,0.14319233543811782,0.3227535725595144,8.1497,3.513,1,0.9516587828927856
54,ccfbvc170120.fits,9,0.3563,"(93.73611937023371, 90.10214962937513)",38636.043,38636.0961,391.35643005371094,0.0,1.6782,0.467918905068638,0.29907845982021886,4.7315,2.4572,1,1.0098658484197036
