col1_1,label_1,xcentroid_1,ycentroid_1,sky_centroid_1,bbox_xmin_1,bbox_xmax_1,bbox_ymin_1,bbox_ymax_1,area_1,semimajor_sigma_1,semiminor_sigma_1,orientation_1,eccentricity_1,min_value_1,max_value_1,local_background_1,segment_flux_1,segment_fluxerr_1,ellipticity_1,fwhm_1,col1_2,label_2,xcentroid_2,ycentroid_2,sky_centroid_2,bbox_xmin_2,bbox_xmax_2,bbox_ymin_2,bbox_ymax_2,area_2,semimajor_sigma_2,semiminor_sigma_2,orientation_2,eccentricity_2,min_value_2,max_value_2,local_background_2,segment_flux_2,segment_fluxerr_2,ellipticity_2,fwhm_2,Separation
73,74,88.82212480345218,286.209625848249,,86,91,284,289,32.0,1.0820122141206499,0.7907314024965175,-47.546906474582485,0.6825947402222362,0.0,47905.88867571485,0.0,235997.66008739098,,0.2692028868277203,2.231498957076097,36,37,89.20683357645878,285.70787543825816,,81,97,276,294,224.0,4.45669724643672,2.6989936519666857,-59.457350552517475,0.7957661733158237,271.7551074076257,3254.026004874757,-57.891804440193255,239622.2060843263,,0.3943960061176194,8.675637245825664,0.6322612703259806
97,98,252.57797918218608,356.3957054881114,,249,258,351,360,57.0,2.029012946747368,0.7340637871403364,-43.09998146945729,0.9322620677696503,0.0,3345.72728838711,0.0,21990.04926302589,,0.6382163118687412,3.5928346801812627,48,49,253.12598482095822,356.37736371548664,,251,255,354,359,22.0,1.476679380780536,1.1850862646482783,-70.01795484693224,0.5966056068118178,146.21816376493717,271.3747393471618,142.8015808809102,4398.688995830296,,0.1974654213551278,3.152738858612101,0.5483125028203153
106,107,10.993136602818328,374.5348170646053,,7,14,372,377,44.0,1.4920544523603403,0.9789555355701818,-25.574303978321534,0.7546631193252238,0.0,64999.999999999985,0.0,805874.8842476308,,0.3438875276826975,2.9714528069124997,49,50,11.474129827375663,373.92118774003524,,0,23,362,384,395.0,4.714204850773446,3.5527177286388363,-46.68527831692048,0.6573106732372814,357.4860963933495,9419.661298756379,-180.18022143112137,905680.1458296109,,0.2463802823383986,9.8291568945414,0.7796764906308145
110,111,402.3680166361323,394.480499488004,,400,404,393,396,19.0,0.8175491664881264,0.7194601091906789,-37.37874017737762,0.4749355125282773,0.0,34704.30552223128,0.0,108545.30876039926,,0.11997939857097517,1.8133715923237197,53,54,402.9571601528363,393.75198512919314,,397,409,385,400,142.0,3.9804403007036395,2.269444198824426,-57.17212460793338,0.8215412814773716,541.2179267561173,1988.0093209289241,-274.11927134057936,147491.14254727896,,0.4298509643711409,7.629450136881829,0.9369222242363182
112,113,376.9124645387498,397.2572742800652,,374,380,395,400,37.0,1.1693423986951277,0.9593901358608053,-27.149548357875414,0.5717144010431073,0.0,64999.999999999985,0.0,581745.4937347819,,0.17954729347760645,2.5185519137360455,54,55,377.5649853673438,396.6413126565911,,367,387,386,406,311.0,4.49717559878377,3.2283151226858484,-55.22776702019715,0.6961937608731096,425.8285744424032,6615.400214589654,-185.73126323954972,647949.674157515,,0.28214608218568915,9.217941020605593,0.8973249987278007
116,117,49.30282627371849,420.3522228282203,,45,53,416,424,67.0,1.8295576592800853,1.4136062076411513,-34.98830678045388,0.634833253288354,0.0,64999.999999999985,0.0,1794713.203913222,,0.22735082960031294,3.8498116494864254,380,381,49.84731138556209,419.7599624961642,,37,62,406,433,531.0,4.79454254430573,3.6360767040771123,-59.84215401837695,0.65181474001886,368.29116115916855,17516.913090506623,-199.5011547868276,2030135.4200091122,,0.24162176673236058,10.0195714033042,0.8045099986616522
120,121,146.32695167434352,422.5481149420624,,144,149,420,425,30.0,1.0993340152932372,0.7626189169468084,-42.533947128665496,0.7202544969668745,0.0,53402.913257150794,0.0,242371.93625837157,,0.30629007532038666,2.2278407787162195,372,373,146.73565617459965,422.02219225448283,,139,155,413,430,207.0,4.3056703727175485,2.6018728611938164,-55.179903494748665,0.7967645757137628,425.203506781977,3260.3895616039645,-190.52305019933397,275062.54085199954,,0.39571015986724745,8.376763806592844,0.6660585873934299
124,125,294.1303277867705,444.7405619402244,,292,296,443,447,23.0,0.9411708195541142,0.781341250691821,-15.011846929936416,0.5574953472947317,0.0,64445.480090454424,0.0,292765.54030881915,,0.16981993655308336,2.0368149766517196,55,56,294.39370554490745,444.60384433291836,,287,302,434,449,179.0,3.5126743339800823,2.790612059297791,-53.764097886274264,0.6073415033062661,495.369816792378,5186.690118227487,-243.80176203222908,356692.94245739665,,0.20555912846726931,7.470088376265232,0.2967482900181861
125,126,436.1998284475354,444.0,,435,438,443,445,12.0,0.6953155808410685,0.5688292519459035,-9.682924482804011E-16,0.5750932226607591,0.0,35158.32651350965,0.0,43938.48594744544,,0.1819121164265648,1.495848786815235,56,57,436.4850436915269,444.08960112982413,,430,442,437,449,97.0,3.7185046092075558,1.7955284993476923,-53.50221426945281,0.875695877089456,612.268791448113,1555.5450563097368,-344.51503932403193,100394.56096997223,,0.5171369440011708,6.875751768543415,0.29895835474342036
126,127,322.63260267380514,446.16754402655147,,320,325,445,448,22.0,1.0509073211670794,0.653497317434119,-13.325258503517649,0.7831434748242809,0.0,64999.999999999985,0.0,200114.35598831557,,0.3781589448740531,2.0606121482510136,57,58,322.4400427693719,446.5739299788728,,314,330,441,449,109.0,2.8110092245280507,1.9620429711593166,-2.7592338047784604,0.7161121374145849,504.59650630974835,7033.408873601785,-227.47902169306593,239526.84623885466,,0.3020147518410473,5.708043347371519,0.44969863135153193
154,155,178.47491758178884,126.84466826149972,,173,185,119,131,115.0,1.7145529164402624,1.4701604137308217,-64.13792986348001,0.5145507539863029,0.0,4841.546246371577,0.0,51292.659612615935,,0.14254007582154182,3.7607380529382035,127,128,179.3930042007316,126.9639799887836,,172,186,121,133,134.0,3.7157914026227057,2.807716823731167,-42.66520471679359,0.6550131827070889,177.98822374665747,578.7192136632194,63.386605566958565,40578.53902194377,,0.2443825501750705,7.754901779565937,0.9258068525071654
178,179,309.7919175374526,153.23579464800494,,307,313,150,157,48.0,1.1149141373492348,0.896167018285383,-54.1559470529545,0.5949007916391491,0.0,21466.222378145452,0.0,114175.18739479952,,0.19620086582087315,2.3818331697690542,152,153,309.93922653910744,153.4689184925318,,302,318,144,163,196.0,4.627670303728873,2.734207748470173,-57.98845610148607,0.8067895416151348,167.66907322489362,1326.8981628664255,93.3057411556025,115103.78842346501,,0.40916107479242647,8.950054920880778,0.2757656049175209
199,200,232.40230954069847,186.5796935388704,,224,242,179,194,199.0,3.4075066571725916,2.4137340867717345,-24.71207232157776,0.7058534957712077,0.0,2187.9186910542508,0.0,77651.08047810924,,0.2916421508110709,6.9531447918481115,172,173,231.38555539047113,186.4296889993539,,224,240,176,197,191.0,5.943964920148193,2.4359400189191023,-55.072256039342506,0.9121675999621185,67.53388789244138,475.54489855064605,216.04010853297507,48408.867547162794,,0.5901826387531288,10.696240012216734,1.0277598765665443
270,271,257.18581401331284,256.9035689263928,,251,265,246,263,179.0,2.275439320985255,2.074762164804181,-77.56266169649922,0.41061839062006417,0.0,13576.957906689579,0.0,158087.7154390128,,0.08819270825212833,5.12741777913059,208,209,257.2220319131106,257.0795713809219,,249,269,245,268,245.0,4.931412553071507,3.5854248888169997,-54.21868873518778,0.6865756275561962,79.05884764563814,1380.5373257327583,199.2146458728048,155356.53465218065,,0.27294160644015986,10.152265476553293,0.17969028984903926
271,272,193.96799122314516,259.12507434264427,,189,202,250,264,129.0,2.559206816575576,1.0757972287050368,-51.21856783567304,0.9073557719914658,0.0,20299.57707181602,0.0,222677.40672045303,,0.5796364632442876,4.622554096364269,209,210,194.31984992913954,259.46655759265013,,183,207,251,269,310.0,5.029729475373225,3.949495590148631,-31.104335659469807,0.619203923765643,95.22936755188113,2139.1723639714564,209.69844501796996,225064.11896594442,,0.21476977847689038,10.648460573936404,0.4903216893210044
304,305,312.1702732407292,127.10654727200296,,308,315,124,131,42.0,1.0717390798519955,0.7603344357256759,-52.482757443434934,0.7047659667483789,0.0,14969.321280497888,0.0,48617.756600729444,,0.2905601279084866,2.1880403893735556,140,141,311.9782606479066,126.61547640661715,,306,317,119,132,88.0,4.056494769731217,1.6573644265694212,-53.658999534406675,0.9127267279988748,226.43450964426427,797.4153393676772,36.84929808471155,35524.725793826685,,0.5914294185866193,7.2965243169599985,0.5272754788848298
309,310,93.16127385310172,149.56151556093684,,87,101,146,156,96.0,1.5893208791652103,1.155491807645421,-35.48124652204338,0.6866004647507394,0.0,57740.862178540876,0.0,755111.4546656035,,0.2729650614969946,3.2718875812588397,146,147,93.6771483340525,149.36400838494055,,80,107,137,164,511.0,5.2704450762421535,4.034433719826761,-53.012737034630895,0.6434566578386418,337.4170453262035,6426.647005003965,-122.26740385163131,906987.9056441109,,0.23451745318189965,11.051891588405324,0.5523907717062918
366,367,308.5201843986149,282.0432504207815,,302,320,275,287,120.0,2.418328299317182,1.0083634149076972,-31.615293142109756,0.9089215647858407,0.0,2914.532042770999,0.0,34970.37140430104,,0.5830328681211687,4.362811308595505,37,38,307.70628251694114,282.1407345312462,,305,310,280,284,21.0,1.3996120527645755,1.1126307443751313,-21.455190477059833,0.6066663921486426,124.81927905655215,389.50562475564453,181.89925270642453,4625.762085495274,,0.20504346745413204,2.9771766749068904,0.819719113346263
380,381,204.8914715675837,312.06147576751044,,192,210,308,322,135.0,2.792946494302589,0.9719818084932778,-31.09358123960663,0.9374896916143807,0.0,13259.074034772993,0.0,113578.31978907018,,0.6519869569731997,4.924136137813634,312,313,205.2194882862976,311.18646525898953,,197,213,303,318,170.0,4.357782378664987,2.6863857026122036,-46.8451048426863,0.7873885293753937,159.33438614054137,1055.2798878960662,138.66994642352154,81062.56518154586,,0.38354294244606546,8.524145326238328,0.9344722348886951
399,400,170.13454929452803,373.11196814001914,,168,173,369,375,34.0,0.9826544112996621,0.8215164036922022,-62.71325239228495,0.5487025938883668,0.0,10410.762402993967,0.0,35382.32960500585,,0.16398237849900676,2.13270455787773,356,357,169.33313862623174,373.72012094840244,,166,174,369,377,50.0,2.202981647864288,1.6495567132331612,-52.048377835369365,0.6628144500127978,327.4952091001919,783.7774461983277,-64.29586374258113,25065.855639355967,,0.2512163163808706,4.582580694403841,1.0060362307608939
404,405,186.3351515531108,402.1171579259086,,183,189,398,406,54.0,1.3843523032476837,0.9964512292723018,-69.22400654364559,0.694185667113602,0.0,64999.999999999985,0.0,726368.0591386779,,0.2802040153112527,2.8401445181822504,369,370,186.17094128621417,402.7142672051283,,176,197,390,416,378.0,4.77568060795164,3.4703249712150552,-72.42908027284925,0.6869908655956427,344.302079746688,13862.042982738656,-101.80683073922495,1171245.4138900961,,0.2733339483723286,9.82982681263548,0.6192774039834822
