,image,num_iters,execution_time,star_coord,flux_before,flux_after,bkg_before,bkg_after,l1_centroid_err,before_ecc,after_ecc,before_fwhm (pix),after_fwhm (pix),flag,bestBeta
26,ccfbue110098.fits,3,0.0463,"(466.39526920396787, 304.6900426504546)",104510.84,104510.8133,177.66084480285645,0.0,3.5898,0.16257692972005156,0.5810221601581276,5.2986,5.3519,1,1.0
27,ccfbue110098.fits,3,0.0708,"(113.00439818285102, 103.31249381895393)",12359.762,12359.7563,100.83293533325195,0.0,0.3177,0.1947063489235905,0.19596645700276683,5.2371,3.6172,1,1.0
28,ccfbue110098.fits,4,0.079,"(96.21852539570881, 90.8954047691453)",26538.71,26538.703,110.12905883789062,0.0,0.8645,0.11994503611569318,0.08324119587060985,5.7372,2.9376,1,1.0
29,ccfbue110098.fits,3,0.0473,"(459.72773734939057, 531.6990545514411)",17022.06,17022.0557,142.87223434448242,0.0,0.9777,0.362725698478071,0.14688769358773412,5.637,3.2408,1,1.0
30,ccfbue110099.fits,4,0.078,"(190.34747051858355, 484.8302569767185)",5002.622,5002.6176,109.23703193664551,0.0,1.3286,0.3854072392955231,0.051255702997960007,5.847,2.7637,1,1.0
31,ccfbue110099.fits,1,0.0093,"(502.6137742906204, 518.6418471625008)",82909.055,72905.2162,187.74783325195312,11.11536998744032,0.4961,0.18608047006288453,0.2080217327068865,5.7972,4.5866,0,1.0
32,ccfbue110099.fits,4,0.0924,"(433.4481161425949, 15.564578479416394)",14614.511,14614.508,113.02272415161133,0.0,0.7265,0.1885763256932388,0.14094951491454577,5.7425,3.3264,1,1.0
33,ccfbue110099.fits,4,0.0775,"(241.09514371875798, 412.925254612417)",37872.01,37871.9992,142.48353958129883,0.0,0.2889,0.17790888889250434,0.1665881997303016,5.5796,3.1367,1,1.0
34,ccfbue110099.fits,3,0.0516,"(187.9100152867517, 66.90984118551191)",11948.373,11948.3787,107.12664413452148,0.0,0.796,0.20014404794606167,0.16535862428798254,5.6318,3.3696,1,1.0
35,ccfbue110099.fits,5,0.1161,"(239.8518914087138, 520.5097998856136)",10275.389,10275.3919,110.46527862548828,0.0,1.825,0.07600680371791702,0.06894992632557484,4.8545,3.0423,1,1.0
36,ccfbug080022.fits,1,0.0095,"(438.97503519250125, 287.6119510485272)",3884.0005,196.1487,116.08088302612305,4.097612001788138,0.3659,0.16569572259461163,0.24546659557365313,5.8601,4.6468,0,1.0
37,ccfbug080022.fits,1,0.0093,"(275.2760190663636, 404.7713000070701)",11295.923,1733.4779,115.57746696472168,10.624938459018606,22.5069,0.24183737676314165,0.4225482573642908,5.066,3.9089,0,1.0
38,ccfbug080022.fits,1,0.0091,"(479.87389330562905, 27.218708836072974)",7739.12,-11148.8631,116.73370361328125,20.986642525090126,0.0208,0.09078188527812725,0.06434351221728041,5.1659,3.6694,0,1.0
