col1_1,label_1,xcentroid_1,ycentroid_1,sky_centroid_1,bbox_xmin_1,bbox_xmax_1,bbox_ymin_1,bbox_ymax_1,area_1,semimajor_sigma_1,semiminor_sigma_1,orientation_1,eccentricity_1,min_value_1,max_value_1,local_background_1,segment_flux_1,segment_fluxerr_1,ellipticity_1,fwhm_1,col1_2,label_2,xcentroid_2,ycentroid_2,sky_centroid_2,bbox_xmin_2,bbox_xmax_2,bbox_ymin_2,bbox_ymax_2,area_2,semimajor_sigma_2,semiminor_sigma_2,orientation_2,eccentricity_2,min_value_2,max_value_2,local_background_2,segment_flux_2,segment_fluxerr_2,ellipticity_2,fwhm_2,Separation
36,37,283.32387772357146,140.47864085902094,,280,287,137,143,47.0,1.0010284539877978,0.9707296200620036,60.27405349559076,0.24417058791511229,0.0,748.4971604887036,0.0,3784.035594538923,,0.030267704983902077,2.32184179391521,44,45,283.4773823622458,140.45763334746798,,278,290,134,147,94.0,2.799980791380773,2.2985662067157957,-87.71971552902767,0.5710401472182455,3.130904912151409,83.31928830197124,2.032907150734529,3252.7852379650603,,0.17907786589411256,6.032040360726892,0.1549354369929307
37,38,135.59329716136486,145.7538148762519,,133,138,142,149,41.0,1.0004461956165067,0.8289350488824435,75.81853958722361,0.5598923702994504,0.0,207.10297176559942,0.0,849.5682453066223,,0.17143465334322405,2.163377356978073,45,46,136.25400865026742,145.1529481434114,,133,140,141,148,28.0,2.2420760182547372,1.1938985990582482,61.62013026345022,0.8464319336768034,10.873258453317009,42.48151481928522,0.5909099847460182,708.6296816784584,,0.4675030688800662,4.229606448506569,0.8930736264173637
38,39,151.03610864879548,154.89486251258165,,148,154,152,158,44.0,0.9961800616647541,0.8594604452495381,-79.82490433576132,0.5056202890155311,0.0,661.7827010221599,0.0,1922.586681288772,,0.13724387957207118,2.190771853207962,46,47,151.23045714447696,154.76004597466414,,147,156,149,160,59.0,2.552797796007011,1.922244515025892,-85.88233664258364,0.6580259966157281,6.581131475700392,66.62303543715068,-0.9595824466694762,1830.178845415394,,0.2470047890073418,5.321007712295383,0.2365308366148476
39,40,297.0691549389139,168.52300800327657,,294,301,165,171,46.0,0.9910883894601447,0.9535154820283682,64.9868015623095,0.27273481879862144,0.0,2130.0324365095285,0.0,9800.952905554064,,0.037910753300462674,2.290023430197493,47,48,297.2516747326809,168.53992438206072,,290,305,161,177,181.0,3.2675442912422152,2.9341886186466026,66.916767733124,0.44003677290538307,5.295462757271503,183.02659173926992,-1.107873799413421,10280.77103778596,,0.10202024605728655,7.312523611283086,0.18330204305437092
40,41,256.3842308912637,169.47279090745718,,253,260,166,173,50.0,1.0485488150039577,0.9455058912370217,40.92790845453445,0.43230371449183513,0.0,1440.1423619043208,0.0,6605.703505791918,,0.09827193764607622,2.350952614103701,48,49,256.62702741229145,169.7085622169406,,250,264,163,178,146.0,3.125674580990074,2.7096127295032804,62.259139992252535,0.49850131676772563,8.024296553179486,136.1525136629055,0.05833328719682662,6572.236545799028,,0.13311105833512704,6.887967927502962,0.3384350173943351
42,43,144.45325409242437,175.07130099825358,,141,148,172,178,52.0,1.0981079448352566,0.9461481949373639,-2.665246954044047,0.5075594367488462,0.0,112.97146559368137,0.0,350.71767390919257,,0.13838325331549295,2.4135684745364347,49,50,144.17058000852964,175.14474777248014,,143,145,174,176,6.0,0.7793688397206234,0.582847058142729,41.152282319944725,0.6638734194098624,6.628424202089356,24.10538812542483,3.616985786764481,105.4251689100692,,0.2521550407998614,1.620491345604128,0.2920600389474996
44,45,48.703157118787956,195.2135127307088,,46,53,192,198,47.0,1.001776184815,0.8914332665417569,43.408338694665204,0.4562478824269004,0.0,276.6293385421458,0.0,1315.189211730855,,0.11014727635357024,2.2328666373402775,50,51,48.52450921963332,195.0104236112524,,44,52,191,198,38.0,1.9563392298748747,1.7754411607274891,19.851207314131887,0.4199821582558659,12.91463570956671,46.36490243559872,0.26320916129792216,1020.89199874809,,0.09246763873306141,4.3989949792311185,0.2704815378430426
47,48,279.07944904016597,203.00880839390456,,276,282,200,206,42.0,0.9387905592752551,0.8651631384779845,81.921245911446,0.3882073673983738,0.0,148.35102904426702,0.0,453.6629566463658,,0.07842795186831752,2.125761524241884,54,55,279.37041929722807,202.1693575578157,,278,281,200,204,13.0,1.2482331423442075,0.8273063526987835,-80.26466687801386,0.7488124817897058,12.350123844270374,38.06804758075064,2.5604790350454136,308.477096339361,,0.3372180848001799,2.4935096938754,0.888448871182293
49,50,86.43902636924796,210.9396869336537,,84,90,208,214,41.0,0.9536812981692595,0.9218113777358801,46.294103651810666,0.2563568400788308,0.0,7939.308526751663,0.0,36189.45685708626,,0.03341778903975445,2.2085426698437223,53,54,86.51087547441773,210.9385276263461,,73,101,198,223,368.0,3.788709336580888,3.483348313618101,73.74082543346391,0.3933183143981849,-0.3441050941650461,614.3757078391461,-0.14366486958463853,40037.75538214371,,0.0805976378326132,8.56973885810815,0.07185845745026055
51,52,251.9617059814534,217.16214527775443,,249,255,214,220,43.0,0.9910289622547267,0.8469251881580135,-25.255499672969695,0.5193004124824183,0.0,138.8570307256286,0.0,356.5955841909346,,0.14540823687822135,2.1706668577129857,56,57,252.00670862281794,216.40144058615843,,249,254,214,218,14.0,1.5118091493682704,1.2622523212146712,-8.187355457811107,0.5503586534932455,14.78934540854327,33.383915242108785,-1.3599356956525677,341.7904149401869,,0.16507164826848664,3.279397770797059,0.7620346878889153
58,59,80.3369793603238,286.8924555062124,,77,84,284,290,52.0,1.2574788782199138,0.988834288483276,-4.869968545594117,0.6177652878882888,0.0,57.8402383947349,0.0,256.0469316767847,,0.21363745697019643,2.663678496139416,64,65,80.55571308865139,286.9812532200887,,79,83,286,288,7.0,1.4774238247361984,0.5206291587151346,21.48180507936753,0.9358532973831143,13.320686671894565,33.18672511500455,5.236202045198125,119.1550120798055,,0.647610150859659,2.608347692274812,0.23607091709431158
