,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,ellipticity,fwhm
12,13,330.12322890759935,44.5953592023338,,324,335,40,49,86.0,2.3615158890782553,1.0848277370512853,-44.76097260349751,0.8882410308981793,0.0,29.94608749131656,0.0,382.28179125915824,,0.5406223002485432,4.32723685494564
13,14,221.69679021295676,43.65059063775298,,220,223,42,45,16.0,0.747877609296301,0.7255402050593144,-59.59227267340408,0.24257652980883468,0.0,1.2600527531950512,0.0,2.870553763820841,,0.029867726964047603,1.7350162501537076
14,15,236.10389251013441,43.79890987261103,,234,238,42,46,22.0,0.849595591294628,0.7125976236913496,-14.913291401812502,0.5445179310089917,0.0,3.1148675637115195,0.0,7.072656493169312,,0.16125079862351754,1.846401199666372
15,16,300.28617768423095,47.77259369594234,,296,304,44,53,75.0,1.4142256378168578,1.1643015262331242,24.297469445348206,0.5676376950176983,0.0,135.7390573162442,0.0,722.4622756162204,,0.1767215251234887,3.0502111385860045
16,17,198.0,46.54721659432961,,197,199,45,48,12.0,0.7558685805675808,0.5688292519459035,-90.0,0.6585345832285006,0.0,0.9226378361811046,0.0,1.6860560256061348,,0.24744953478715792,1.575182788814529
17,18,270.6856636362949,49.45254544940124,,268,274,47,52,37.0,1.1617087564204898,0.965802200640569,-42.73033726284083,0.5557290819832205,0.0,6.6886173777480264,0.0,46.71901386729657,,0.16863654913263892,2.5155502906685365
18,19,314.1773497894596,52.207173873420295,,311,318,48,56,61.0,1.3322819116596125,1.1246893522070993,-53.29695875650074,0.5360555523979711,0.0,66.80118774631457,0.0,457.9767900906436,,0.15581729184772675,2.9031699692026574
19,20,351.4231357946594,55.213755811442816,,349,356,52,59,51.0,1.2562673454630098,0.8862204403120676,54.59245424242173,0.7087702732347574,0.0,208.46950821690916,0.0,1091.2235180743694,,0.29456063352069195,2.5599365096987294
20,21,103.89728637060539,56.12486938345491,,100,108,53,60,59.0,1.274544947570666,1.195632708389097,-73.66334959521882,0.3464025833914329,0.0,35.2785452530732,0.0,254.1315103042743,,0.06191404966296321,2.90989563436837
21,22,268.80229476742153,64.18962869578196,,266,272,61,67,43.0,1.051215423603147,0.9248663799284926,64.69138494479543,0.4753316302877661,0.0,1676.5334671875955,0.0,8515.930808132103,,0.12019329324676409,2.3314096138610476
22,23,330.64574838614357,67.04573788973221,,328,333,64,70,40.0,1.0074014280164365,0.888560062852898,77.07914357756621,0.4711899403259217,0.0,397.3409969609216,0.0,1581.8535927113671,,0.1179682317877353,2.2367051048134905
23,24,26.344395020751175,68.89396144994075,,24,29,65,72,45.0,1.0680778722950266,0.9673489906931729,88.17711745374238,0.42393750468128955,0.0,503.0993690057422,0.0,1737.4650650728138,,0.09430855578480712,2.3994648030928647
24,25,171.11833791436223,74.99737956871466,,169,173,73,77,21.0,0.8039699231009884,0.7613161360621874,89.73388199967314,0.3213925866147915,0.0,2.704512161684927,0.0,6.6424990563524995,,0.05305395862855322,1.8436676241205956
25,26,247.5495141741455,95.48002605796148,,245,250,93,98,35.0,0.9846070968781326,0.881003672899421,-7.205204937452029,0.44651351915411847,0.0,601.1472150817822,0.0,2654.5231771186754,,0.10522311316585486,2.1999732868335973
26,27,150.38569436091174,100.29966147490961,,146,155,97,104,65.0,1.6132983119335664,1.2438190902334467,27.73590995882546,0.6368605885743555,0.0,7.454993350003914,0.0,102.75179111442249,,0.22902101797732144,3.392010737953957
27,28,38.45696908087177,100.96786065820721,,36,42,98,105,50.0,1.28849035015876,1.0837865344982602,-89.19484967336719,0.5408346240184263,0.0,25.102341980905646,0.0,132.06332335781423,,0.15887105063322926,2.803522118671066
28,29,210.35390461962004,101.30031669918507,,207,214,98,105,53.0,1.2934553183763924,1.1304686470098164,39.14561094710318,0.48594163502253757,0.0,193.17908400023856,0.0,1166.263233311627,,0.12600873725670303,2.860396924465897
29,30,328.9235377012683,100.6669087768252,,324,333,98,104,59.0,1.1039120394265303,0.9458009962403205,-22.49628740258269,0.5156952886568048,0.0,174.6002564147305,0.0,558.7477580644459,,0.14322793622972585,2.420522098849498
30,31,365.85888084463664,118.00525315742719,,363,368,115,121,38.0,1.1911679709939982,0.8096544227884743,-78.05382766035244,0.7334765693821678,0.0,526.9595187615492,0.0,1527.7599698055228,,0.3202852641237163,2.398232147390128
31,32,20.21049395751556,119.37602437904684,,17,23,116,122,45.0,1.0745380778826095,0.9538517147122675,-36.81280981157516,0.46045055239677996,0.0,76.81538277318813,0.0,323.8493946276409,,0.11231464538525793,2.3924700332956674
32,33,99.4743922813909,126.23346820597823,,97,102,124,129,34.0,1.1031113442345437,0.8796151467452643,51.68928198729128,0.6034581027679837,0.0,7.015800717321099,0.0,43.92993440200908,,0.202605293343588,2.3492663902653117
33,34,77.75942169552044,129.3061271088153,,76,80,127,131,22.0,0.8701621687048631,0.7824507543306412,-64.4370615431222,0.43753563662651496,0.0,2.362676776216141,0.0,8.649391062911034,,0.10079892866954943,1.948541648528919
34,35,309.488600506777,135.3075968676252,,306,313,131,139,69.0,1.5553538626287295,1.1501295369174824,85.66800975741425,0.6731951505393028,0.0,45.67800951421997,0.0,423.41176286335264,,0.2605351331602255,3.2209959863745907
35,36,25.185434454384115,136.12719964877178,,22,29,133,139,48.0,1.122421246898693,1.0136982602637645,57.441244516086165,0.42935604414443207,0.0,323.40865838953073,0.0,1691.9571068152593,,0.09686469044962898,2.518344138782224
36,37,283.32387772357146,140.47864085902094,,280,287,137,143,47.0,1.0010284539877978,0.9707296200620036,60.27405349559076,0.24417058791511229,0.0,748.4971604887036,0.0,3784.035594538923,,0.030267704983902077,2.32184179391521
37,38,135.59329716136486,145.7538148762519,,133,138,142,149,41.0,1.0004461956165067,0.8289350488824435,75.81853958722361,0.5598923702994504,0.0,207.10297176559942,0.0,849.5682453066223,,0.17143465334322405,2.163377356978073
38,39,151.03610864879548,154.89486251258165,,148,154,152,158,44.0,0.9961800616647541,0.8594604452495381,-79.82490433576132,0.5056202890155311,0.0,661.7827010221599,0.0,1922.586681288772,,0.13724387957207118,2.190771853207962
39,40,297.0691549389139,168.52300800327657,,294,301,165,171,46.0,0.9910883894601447,0.9535154820283682,64.9868015623095,0.27273481879862144,0.0,2130.0324365095285,0.0,9800.952905554064,,0.037910753300462674,2.290023430197493
40,41,256.3842308912637,169.47279090745718,,253,260,166,173,50.0,1.0485488150039577,0.9455058912370217,40.92790845453445,0.43230371449183513,0.0,1440.1423619043208,0.0,6605.703505791918,,0.09827193764607622,2.350952614103701
41,42,74.76354386301267,171.24953420916273,,72,77,168,174,39.0,0.9794616747160554,0.9251344478730751,65.73529153005266,0.3284148369109151,0.0,45.6973275023453,0.0,119.49684284763713,,0.05546641409806019,2.2434026617796907
42,43,144.45325409242437,175.07130099825358,,141,148,172,178,52.0,1.0981079448352566,0.9461481949373639,-2.665246954044047,0.5075594367488462,0.0,112.97146559368137,0.0,350.71767390919257,,0.13838325331549295,2.4135684745364347
